"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Rondônia","0.407","0.537","0.690","",""
"1","IDH","Acre","0.402","0.517","0.663","",""
"1","IDH","Amazonas","0.430","0.515","0.674","",""
"1","IDH","Roraima","0.459","0.598","0.707","",""
"1","IDH","Pará","0.413","0.518","0.646","",""
"1","IDH","Amapá","0.472","0.577","0.708","",""
"1","IDH","Tocantins","0.369","0.525","0.699","",""
"1","IDH","Maranhão","0.357","0.476","0.639","",""
"1","IDH","Piauí","0.362","0.484","0.646","",""
"1","IDH","Ceará","0.405","0.541","0.682","",""
"1","IDH","Rio Grande do Norte","0.428","0.552","0.684","",""
"1","IDH","Paraíba","0.382","0.506","0.658","",""
"1","IDH","Pernambuco","0.440","0.544","0.673","",""
"1","IDH","Alagoas","0.370","0.471","0.631","",""
"1","IDH","Sergipe","0.408","0.518","0.665","",""
"1","IDH","Bahia","0.386","0.512","0.660","",""
"1","IDH","Minas Gerais","0.478","0.624","0.731","",""
"1","IDH","Espírito Santo","0.505","0.640","0.740","",""
"1","IDH","Rio de Janeiro","0.573","0.664","0.761","",""
"1","IDH","São Paulo","0.578","0.702","0.783","",""
"1","IDH","Paraná","0.507","0.650","0.749","",""
"1","IDH","Santa Catarina","0.543","0.674","0.774","",""
"1","IDH","Rio Grande do Sul","0.542","0.664","0.746","",""
"1","IDH","Mato Grosso do Sul","0.488","0.613","0.729","",""
"1","IDH","Mato Grosso","0.449","0.601","0.725","",""
"1","IDH","Goiás","0.487","0.615","0.735","",""
"1","IDH","Distrito Federal","0.616","0.725","0.824","",""


Fonte: Programa das Nações Unidas para o Desenvolvimento - PNUD
